Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
74.937	78.686	84.580	88.310
75.278	80.842	84.919	89.214
72.090	78.686	85.711	91.583
73.229	78.686	85.145	91.583
74.254	79.140	86.163	92.598
73.685	78.800	87.068	91.019
74.595	79.254	86.729	92.034
75.505	79.594	83.561	91.245
76.301	80.729	85.485	89.327
74.595	78.800	87.068	89.778
76.415	81.409	85.145	90.004
73.912	80.729	87.407	92.485
73.343	81.295	85.711	92.823
76.301	80.729	83.674	89.778
73.571	81.522	84.580	90.004
73.799	82.089	87.068	89.778
73.799	79.140	87.746	89.891
76.528	81.749	84.014	91.357
73.457	79.821	84.467	92.259
76.415	79.594	83.901	92.147
75.619	80.729	86.163	90.568
73.002	78.573	87.181	89.101
74.026	79.708	84.467	91.245
74.026	81.635	86.502	91.583
76.756	81.295	86.955	91.583
73.002	79.708	84.014	92.485
77.097	81.069	85.259	91.245
73.457	80.729	84.806	91.583
74.481	80.842	86.955	92.372
75.960	81.295	84.580	93.386
76.187	78.913	85.145	91.470
73.571	82.995	86.163	92.710
75.733	82.089	86.842	93.048
74.368	83.108	87.971	90.906
73.799	79.254	88.423	93.724
75.733	79.367	84.580	90.906
74.937	80.729	87.520	93.048
75.846	82.768	86.842	93.499
74.140	79.935	85.145	91.470
74.709	79.935	88.084	93.048
77.097	80.842	86.389	93.837
73.571	82.542	85.824	91.921
74.368	82.089	85.824	90.455
77.324	81.182	88.310	93.724
76.074	79.935	86.615	92.823
77.097	83.561	88.875	92.034
74.026	79.481	87.294	93.612
76.301	81.975	87.294	91.132
77.097	81.069	88.649	90.455
78.005	79.708	86.615	91.470
75.391	79.481	86.276	90.906
77.210	81.635	85.145	93.950
75.619	81.975	86.842	93.161
76.415	82.089	87.633	91.019
75.619	82.995	88.988	92.598
77.551	83.108	89.214	93.499
74.937	82.429	87.294	93.950
77.664	82.882	88.197	92.936
75.846	83.561	89.439	92.598
75.278	82.429	88.197	93.161
78.346	82.315	86.389	92.598
75.164	83.674	86.050	91.019
77.437	82.995	87.746	93.161
78.686	84.353	87.971	92.710
76.642	80.162	88.988	94.400
76.869	81.182	85.485	94.625
78.005	80.502	86.050	94.287
76.187	83.448	85.824	92.034
74.595	80.502	87.181	90.681
75.619	82.768	88.875	92.259
76.528	80.729	89.214	92.485
76.074	84.353	88.310	93.274
78.459	82.882	86.729	92.147
75.733	83.108	88.649	93.724
78.119	82.542	87.971	91.583
76.642	82.542	90.117	94.738
74.937	80.842	86.276	92.598
76.301	84.580	89.552	93.499
77.097	82.315	89.891	93.274
75.505	84.353	87.746	94.287
79.367	81.635	86.163	93.161
75.619	82.202	87.520	95.188
75.164	84.806	89.439	94.513
78.573	84.014	88.762	91.357
75.391	83.221	89.214	91.808
76.528	84.014	87.633	92.823
77.551	84.919	90.342	95.301
79.027	83.448	90.342	94.287
76.642	85.259	88.197	95.413
78.005	83.108	87.068	94.513
75.619	82.429	88.536	92.372
75.505	81.749	88.762	92.823
79.254	83.561	87.971	91.470
76.074	82.429	88.875	91.583
78.913	81.522	90.568	95.076
76.528	82.882	88.536	94.963
79.481	85.259	88.988	94.400
76.869	84.014	89.439	94.738
79.935	83.901	87.294	93.274
79.594	84.806	90.004	95.863
79.367	81.862	87.294	91.921
80.048	83.448	87.633	94.625
76.756	82.995	90.117	94.625
80.162	82.202	89.665	92.710
77.892	81.975	88.649	95.188
79.367	85.259	90.004	93.724
78.232	84.467	87.294	93.274
76.983	82.768	89.778	92.147
80.502	83.221	91.357	94.400
76.415	84.240	88.875	92.710
78.005	82.542	88.423	93.048
76.528	82.995	89.778	95.863
77.778	84.467	91.245	95.413
76.528	85.372	90.004	92.598
76.869	84.240	89.891	94.175
76.528	84.919	91.583	94.175
76.869	83.561	90.906	92.823
80.502	84.693	90.455	93.161
79.254	82.315	88.649	94.850
79.367	84.919	91.132	94.850
79.481	84.693	91.696	93.950
76.983	85.145	88.423	95.976
80.502	83.335	91.470	94.625
79.254	85.711	87.746	95.751
78.800	83.674	89.552	95.413
77.210	86.502	87.746	93.612
80.162	84.806	89.101	92.710
80.955	85.598	88.988	96.089
77.210	83.448	88.875	95.188
77.097	83.221	90.229	94.513
79.027	86.276	87.971	94.625
77.778	85.824	89.439	94.513
77.892	84.240	90.117	94.287
78.800	85.145	91.019	94.963
78.913	83.674	92.372	93.612
78.913	84.806	88.988	96.539
81.295	85.937	90.004	96.089
78.573	85.032	88.875	95.076
78.800	84.806	88.310	95.076
78.800	84.467	88.310	95.526
81.182	86.389	91.019	95.526
80.502	87.294	90.342	97.213
80.615	85.937	91.583	97.213
80.048	84.806	90.004	96.764
78.459	84.353	88.762	94.963
79.140	85.145	88.762	95.301
79.935	83.561	91.921	93.950
80.615	86.842	90.342	94.400
81.522	86.615	90.004	93.837
78.119	84.353	90.793	95.301
80.388	85.598	92.598	95.413
78.913	85.937	92.598	95.863
80.615	84.353	91.470	95.526
81.522	84.806	91.245	95.863
80.955	87.746	89.327	94.963
78.232	83.561	90.568	94.287
78.913	86.389	88.875	97.663
81.522	87.407	90.455	95.863
80.729	85.485	92.372	94.513
79.367	86.050	90.342	96.876
80.275	87.068	91.019	94.062
